d,V
6.15,0.00035299999999999996
7.15,0.000193
8.15,0.000125
9.15,0.00010449999999999999
10.15,8.599999999999999e-05
11.15,6.65e-05
12.15,5.4999999999999995e-05
13.15,4.4e-05
14.15,3.5e-05
15.15,2.9999999999999997e-05
16.15,2.05e-05
17.15,1.6e-05
18.15,1.33e-05
