d,V
50,0.8380373680701761
70,0.28349981831883
89,0.13918331640384796
110,0.07441057471808414
130,0.04621362668271398
160,0.0244675298743505
170,0.020347990387805433
190,0.014450433906365108
200,0.012871095804011884
