Record Length,20480,,Source,CH1,CH2
Sample Interval,CH1:0.0000000100000 CH2:0.0000000100000,,Second,Volt,Volt
Vertical Units,CH1:V CH2:V,,-0.00010240000,4.32000,0.01400
Vertical Scale,CH1:2.00 CH2:0.05,,-0.00010239000,4.24000,0.01200
Vertical Offset,CH1:0.00 CH2:0.00,,-0.00010238000,4.32000,0.00800
Horizontal Units,s,,-0.00010237000,4.32000,0.00400
Horizontal Scale,0.0000100000,,-0.00010236000,4.32000,0.00
Model Number,SDS1102CML+,,-0.00010235000,4.32000,0.00
Serial Number,SDS1MHEX5R4100,,-0.00010234000,4.24000,0.00
Software Version,6.01.01.21R2,,-0.00010233000,4.32000,-0.00200
,,,-0.00010232000,4.32000,0.00
,,,-0.00010231000,4.32000,0.00
,,,-0.00010230000,4.32000,0.00
,,,-0.00010229000,4.32000,0.00
,,,-0.00010228000,4.32000,0.00200
,,,-0.00010227000,4.32000,0.00
,,,-0.00010226000,4.32000,-0.00200
,,,-0.00010225000,4.32000,-0.00200
,,,-0.00010224000,4.40000,-0.00400
,,,-0.00010223000,4.32000,-0.00200
,,,-0.00010222000,4.32000,-0.00400
,,,-0.00010221000,4.40000,-0.00400
,,,-0.00010220000,4.32000,-0.00600
,,,-0.00010219000,4.40000,-0.00800
,,,-0.00010218000,4.40000,-0.01000
,,,-0.00010217000,4.32000,-0.01200
,,,-0.00010216000,4.32000,-0.01600
,,,-0.00010215000,4.32000,-0.01600
,,,-0.00010214000,4.40000,-0.01600
,,,-0.00010213000,4.40000,-0.01600
,,,-0.00010212000,4.40000,-0.01200
,,,-0.00010211000,4.40000,-0.01000
,,,-0.00010210000,4.40000,-0.00800
,,,-0.00010209000,4.40000,-0.00800
,,,-0.00010208000,4.32000,-0.01000
,,,-0.00010207000,4.40000,-0.01200
,,,-0.00010206000,4.40000,-0.01600
,,,-0.00010205000,4.40000,-0.02400
,,,-0.00010204000,4.40000,-0.02600
,,,-0.00010203000,4.40000,-0.02800
,,,-0.00010202000,4.40000,-0.02800
,,,-0.00010201000,4.40000,-0.02600
,,,-0.00010200000,4.40000,-0.02400
,,,-0.00010199000,4.48000,-0.02200
,,,-0.00010198000,4.40000,-0.01800
,,,-0.00010197000,4.40000,-0.01600
,,,-0.00010196000,4.40000,-0.01600
,,,-0.00010195000,4.40000,-0.01600
,,,-0.00010194000,4.40000,-0.01600
,,,-0.00010193000,4.40000,-0.01800
,,,-0.00010192000,4.48000,-0.01800
,,,-0.00010191000,4.40000,-0.01800
,,,-0.00010190000,4.48000,-0.01800
,,,-0.00010189000,4.48000,-0.01600
,,,-0.00010188000,4.48000,-0.01400
,,,-0.00010187000,4.48000,-0.01000
,,,-0.00010186000,4.48000,-0.01000
,,,-0.00010185000,4.40000,-0.00800
,,,-0.00010184000,4.48000,-0.00800
,,,-0.00010183000,4.48000,-0.00800
,,,-0.00010182000,4.48000,-0.00800
,,,-0.00010181000,4.48000,-0.00800
,,,-0.00010180000,4.48000,-0.00800
,,,-0.00010179000,4.56000,-0.00400
,,,-0.00010178000,4.48000,-0.00400
,,,-0.00010177000,4.48000,-0.00200
,,,-0.00010176000,4.48000,0.00
,,,-0.00010175000,4.48000,0.00
,,,-0.00010174000,4.48000,0.00
,,,-0.00010173000,4.48000,-0.00200
,,,-0.00010172000,4.48000,-0.00400
,,,-0.00010171000,4.48000,-0.00600
,,,-0.00010170000,4.56000,-0.00600
,,,-0.00010169000,4.48000,-0.00400
,,,-0.00010168000,4.56000,-0.00200
,,,-0.00010167000,4.56000,0.00
,,,-0.00010166000,4.48000,0.00600
,,,-0.00010165000,4.48000,0.01200
,,,-0.00010164000,4.56000,0.01600
,,,-0.00010163000,4.48000,0.01800
,,,-0.00010162000,4.56000,0.02000
,,,-0.00010161000,4.56000,0.01600
,,,-0.00010160000,4.56000,0.01400
,,,-0.00010159000,4.56000,0.01200
,,,-0.00010158000,4.56000,0.00600
,,,-0.00010157000,4.56000,0.00600
,,,-0.00010156000,4.56000,0.00600
,,,-0.00010155000,4.56000,0.00800
,,,-0.00010154000,4.64000,0.01200
,,,-0.00010153000,4.56000,0.01400
,,,-0.00010152000,4.56000,0.01600
,,,-0.00010151000,4.56000,0.01600
,,,-0.00010150000,4.56000,0.01600
,,,-0.00010149000,4.56000,0.01400
,,,-0.00010148000,4.56000,0.01400
,,,-0.00010147000,4.64000,0.01200
,,,-0.00010146000,4.56000,0.00800
,,,-0.00010145000,4.56000,0.00800
,,,-0.00010144000,4.64000,0.00800
,,,-0.00010143000,4.56000,0.01000
,,,-0.00010142000,4.56000,0.00800
,,,-0.00010141000,4.64000,0.00800
,,,-0.00010140000,4.56000,0.00800
