Record Length,20480,,Source,CH1,CH2
Sample Interval,CH1:0.0000000400000 CH2:0.0000000400000,,Second,Volt,Volt
Vertical Units,CH1:V CH2:V,,-0.00040960000,0.90000,-0.00240
Vertical Scale,CH1:0.50 CH2:0.02,,-0.00040955999,0.90000,-0.00240
Vertical Offset,CH1:0.00 CH2:0.00,,-0.00040952000,0.88000,-0.00240
Horizontal Units,s,,-0.00040948001,0.90000,-0.00160
Horizontal Scale,0.0000250000,,-0.00040943999,0.88000,-0.00160
Model Number,SDS1102CML+,,-0.00040940000,0.90000,-0.00160
Serial Number,SDS1MHEX5R4100,,-0.00040935999,0.88000,-0.00080
Software Version,6.01.01.21R2,,-0.00040932000,0.90000,-0.00080
,,,-0.00040928001,0.88000,-0.00080
,,,-0.00040923999,0.90000,-0.00080
,,,-0.00040920000,0.88000,-0.00080
,,,-0.00040915998,0.88000,0.00
,,,-0.00040912000,0.88000,0.00
,,,-0.00040908001,0.88000,0.00
,,,-0.00040903999,0.90000,0.00
,,,-0.00040900000,0.88000,0.00080
,,,-0.00040896001,0.88000,0.00080
,,,-0.00040891999,0.88000,0.00080
,,,-0.00040888001,0.88000,0.00080
,,,-0.00040883999,0.88000,0.00080
,,,-0.00040880000,0.88000,0.00160
,,,-0.00040876001,0.88000,0.00160
,,,-0.00040871999,0.88000,0.00160
,,,-0.00040868000,0.88000,0.00240
,,,-0.00040863999,0.88000,0.00160
,,,-0.00040860000,0.88000,0.00160
,,,-0.00040856001,0.88000,0.00320
,,,-0.00040851999,0.88000,0.00320
,,,-0.00040848000,0.88000,0.00320
,,,-0.00040843998,0.88000,0.00320
,,,-0.00040840000,0.86000,0.00320
,,,-0.00040836001,0.88000,0.00400
,,,-0.00040831999,0.86000,0.00320
,,,-0.00040828000,0.86000,0.00320
,,,-0.00040824001,0.88000,0.00480
,,,-0.00040819999,0.86000,0.00480
,,,-0.00040816001,0.86000,0.00480
,,,-0.00040811999,0.86000,0.00480
,,,-0.00040808000,0.86000,0.00480
,,,-0.00040804001,0.86000,0.00480
,,,-0.00040799999,0.86000,0.00480
,,,-0.00040796000,0.86000,0.00480
,,,-0.00040791999,0.86000,0.00560
,,,-0.00040788000,0.86000,0.00640
,,,-0.00040784001,0.86000,0.00560
,,,-0.00040779999,0.86000,0.00560
,,,-0.00040776000,0.86000,0.00720
,,,-0.00040771998,0.86000,0.00640
,,,-0.00040768000,0.86000,0.00640
,,,-0.00040764001,0.84000,0.00720
,,,-0.00040759999,0.84000,0.00720
,,,-0.00040756000,0.86000,0.00800
,,,-0.00040751998,0.84000,0.00720
,,,-0.00040747999,0.84000,0.00720
,,,-0.00040744001,0.84000,0.00800
,,,-0.00040739999,0.84000,0.00800
,,,-0.00040736000,0.84000,0.00800
,,,-0.00040732001,0.84000,0.00880
,,,-0.00040727999,0.82000,0.00880
,,,-0.00040724000,0.84000,0.00880
,,,-0.00040719999,0.84000,0.00960
,,,-0.00040716000,0.82000,0.00880
,,,-0.00040712001,0.84000,0.00960
,,,-0.00040707999,0.84000,0.00960
,,,-0.00040704000,0.82000,0.00960
,,,-0.00040699998,0.82000,0.00960
,,,-0.00040696000,0.82000,0.01040
,,,-0.00040692001,0.82000,0.00960
,,,-0.00040687999,0.82000,0.01040
,,,-0.00040684000,0.82000,0.01040
,,,-0.00040679998,0.82000,0.01040
,,,-0.00040675999,0.82000,0.01120
,,,-0.00040672001,0.82000,0.01120
,,,-0.00040667999,0.82000,0.01120
,,,-0.00040664000,0.82000,0.01200
,,,-0.00040660001,0.80000,0.01120
,,,-0.00040655999,0.80000,0.01200
,,,-0.00040652000,0.80000,0.01280
,,,-0.00040647999,0.80000,0.01200
,,,-0.00040644000,0.80000,0.01280
,,,-0.00040640001,0.80000,0.01280
,,,-0.00040635999,0.80000,0.01280
,,,-0.00040632000,0.80000,0.01360
,,,-0.00040627999,0.80000,0.01280
,,,-0.00040624000,0.78000,0.01280
,,,-0.00040620001,0.80000,0.01360
,,,-0.00040615999,0.80000,0.01360
,,,-0.00040612000,0.78000,0.01360
,,,-0.00040607998,0.80000,0.01440
,,,-0.00040604000,0.78000,0.01440
,,,-0.00040600001,0.78000,0.01440
,,,-0.00040595999,0.78000,0.01440
,,,-0.00040592000,0.78000,0.01440
,,,-0.00040588001,0.78000,0.01520
,,,-0.00040583999,0.76000,0.01520
,,,-0.00040580000,0.76000,0.01520
,,,-0.00040575999,0.78000,0.01520
,,,-0.00040572000,0.78000,0.01600
,,,-0.00040568001,0.76000,0.01520
,,,-0.00040563999,0.76000,0.01600
,,,-0.00040560000,0.76000,0.01600
,,,-0.00040555999,0.76000,0.01600
,,,-0.00040552000,0.76000,0.01680
,,,-0.00040548001,0.76000,0.01680
,,,-0.00040543999,0.76000,0.01680
,,,-0.00040540000,0.76000,0.01760
,,,-0.00040535998,0.74000,0.01760
,,,-0.00040532000,0.76000,0.01760
,,,-0.00040528001,0.74000,0.01760
,,,-0.00040523999,0.74000,0.01760
,,,-0.00040520000,0.76000,0.01840
,,,-0.00040516001,0.74000,0.01840
,,,-0.00040511999,0.74000,0.01760
,,,-0.00040508001,0.74000,0.01920
,,,-0.00040503999,0.74000,0.01840
,,,-0.00040500000,0.74000,0.01840
,,,-0.00040496001,0.74000,0.01920
,,,-0.00040491999,0.74000,0.01920
,,,-0.00040488000,0.74000,0.01920
,,,-0.00040483999,0.74000,0.02000
,,,-0.00040480000,0.72000,0.02000
,,,-0.00040476001,0.74000,0.02000
,,,-0.00040471999,0.72000,0.02080
,,,-0.00040468000,0.72000,0.02000
,,,-0.00040463998,0.72000,0.02080
,,,-0.00040460000,0.72000,0.02080
,,,-0.00040456001,0.70000,0.02080
,,,-0.00040451999,0.72000,0.02160
,,,-0.00040448000,0.70000,0.02080
,,,-0.00040444001,0.70000,0.02160
,,,-0.00040439999,0.72000,0.02240
,,,-0.00040436001,0.70000,0.02160
,,,-0.00040431999,0.70000,0.02240
,,,-0.00040428000,0.70000,0.02240
,,,-0.00040424001,0.68000,0.02240
,,,-0.00040419999,0.70000,0.02240
,,,-0.00040416000,0.70000,0.02320
,,,-0.00040411999,0.68000,0.02240
,,,-0.00040408000,0.70000,0.02320
,,,-0.00040404001,0.68000,0.02320
,,,-0.00040399999,0.68000,0.02320
,,,-0.00040396000,0.70000,0.02400
,,,-0.00040391998,0.68000,0.02400
,,,-0.00040388000,0.68000,0.02400
,,,-0.00040384001,0.68000,0.02480
,,,-0.00040379999,0.68000,0.02400
,,,-0.00040376000,0.68000,0.02400
,,,-0.00040371998,0.68000,0.02480
,,,-0.00040367999,0.66000,0.02560
,,,-0.00040364001,0.68000,0.02560
,,,-0.00040359999,0.68000,0.02560
,,,-0.00040356000,0.66000,0.02560
,,,-0.00040352001,0.66000,0.02560
,,,-0.00040347999,0.66000,0.02560
,,,-0.00040344000,0.66000,0.02560
,,,-0.00040339999,0.66000,0.02640
,,,-0.00040336000,0.64000,0.02640
,,,-0.00040332001,0.64000,0.02640
,,,-0.00040327999,0.66000,0.02640
,,,-0.00040324000,0.64000,0.02640
,,,-0.00040319999,0.64000,0.02640
,,,-0.00040316000,0.64000,0.02720
,,,-0.00040312001,0.64000,0.02640
,,,-0.00040307999,0.64000,0.02720
,,,-0.00040304000,0.64000,0.02800
,,,-0.00040299998,0.62000,0.02720
,,,-0.00040295999,0.64000,0.02800
,,,-0.00040292001,0.64000,0.02800
,,,-0.00040287999,0.62000,0.02720
,,,-0.00040284000,0.64000,0.02800
,,,-0.00040280001,0.62000,0.02800
,,,-0.00040275999,0.62000,0.02800
,,,-0.00040272000,0.62000,0.02880
,,,-0.00040267999,0.62000,0.02880
,,,-0.00040264000,0.60000,0.02800
,,,-0.00040260001,0.60000,0.02960
,,,-0.00040255999,0.58000,0.02880
,,,-0.00040252000,0.60000,0.02880
,,,-0.00040247999,0.60000,0.02960
,,,-0.00040244000,0.60000,0.02960
,,,-0.00040240001,0.60000,0.02960
,,,-0.00040235999,0.58000,0.03040
,,,-0.00040232000,0.58000,0.02960
,,,-0.00040227998,0.58000,0.03040
,,,-0.00040224000,0.56000,0.03040
,,,-0.00040220001,0.58000,0.03040
,,,-0.00040215999,0.58000,0.03040
,,,-0.00040212000,0.58000,0.03040
,,,-0.00040208001,0.58000,0.03040
,,,-0.00040203999,0.58000,0.03120
,,,-0.00040200001,0.56000,0.03040
,,,-0.00040195999,0.58000,0.03120
,,,-0.00040192000,0.56000,0.03200
,,,-0.00040188001,0.56000,0.03120
,,,-0.00040183999,0.56000,0.03200
,,,-0.00040180000,0.56000,0.03200
,,,-0.00040175999,0.56000,0.03200
,,,-0.00040172000,0.56000,0.03200
,,,-0.00040168001,0.54000,0.03200
,,,-0.00040163999,0.54000,0.03280
,,,-0.00040160000,0.54000,0.03280
,,,-0.00040155998,0.54000,0.03280
,,,-0.00040152000,0.54000,0.03280
,,,-0.00040148001,0.54000,0.03280
,,,-0.00040143999,0.54000,0.03280
,,,-0.00040140000,0.52000,0.03360
,,,-0.00040136001,0.52000,0.03360
,,,-0.00040131999,0.52000,0.03360
,,,-0.00040128001,0.52000,0.03360
,,,-0.00040123999,0.52000,0.03440
,,,-0.00040120000,0.52000,0.03360
,,,-0.00040116001,0.52000,0.03440
,,,-0.00040111999,0.50000,0.03440
,,,-0.00040108000,0.50000,0.03440
,,,-0.00040103999,0.52000,0.03520
,,,-0.00040100000,0.50000,0.03440
,,,-0.00040096001,0.50000,0.03440
,,,-0.00040091999,0.50000,0.03440
,,,-0.00040088000,0.50000,0.03440
,,,-0.00040083998,0.50000,0.03520
,,,-0.00040080000,0.50000,0.03600
,,,-0.00040076001,0.48000,0.03520
,,,-0.00040071999,0.48000,0.03600
,,,-0.00040068000,0.48000,0.03600
,,,-0.00040063998,0.48000,0.03600
,,,-0.00040059999,0.48000,0.03600
,,,-0.00040056001,0.48000,0.03680
,,,-0.00040051999,0.46000,0.03680
,,,-0.00040048000,0.46000,0.03680
,,,-0.00040044001,0.46000,0.03680
,,,-0.00040039999,0.46000,0.03680
,,,-0.00040036000,0.46000,0.03760
,,,-0.00040031999,0.44000,0.03680
,,,-0.00040028000,0.46000,0.03680
,,,-0.00040024001,0.44000,0.03760
,,,-0.00040019999,0.44000,0.03680
,,,-0.00040016000,0.44000,0.03760
,,,-0.00040011998,0.44000,0.03760
,,,-0.00040008000,0.44000,0.03760
,,,-0.00040004001,0.44000,0.03760
,,,-0.00039999999,0.42000,0.03760
,,,-0.00039996000,0.42000,0.03760
,,,-0.00039991998,0.42000,0.03840
,,,-0.00039987999,0.42000,0.03840
,,,-0.00039984001,0.42000,0.03840
,,,-0.00039979999,0.42000,0.03840
,,,-0.00039976000,0.42000,0.03840
,,,-0.00039972001,0.40000,0.03840
,,,-0.00039967999,0.40000,0.03920
,,,-0.00039964000,0.40000,0.03920
,,,-0.00039959999,0.40000,0.03920
,,,-0.00039956000,0.40000,0.03920
,,,-0.00039952001,0.40000,0.03920
,,,-0.00039947999,0.40000,0.03920
,,,-0.00039944000,0.38000,0.03920
,,,-0.00039939999,0.38000,0.04000
,,,-0.00039936000,0.38000,0.03920
,,,-0.00039932001,0.38000,0.03920
,,,-0.00039927999,0.38000,0.03920
,,,-0.00039924000,0.38000,0.04000
,,,-0.00039919998,0.38000,0.04000
,,,-0.00039916000,0.36000,0.04000
,,,-0.00039912001,0.36000,0.04000
,,,-0.00039907999,0.36000,0.04000
